N,M,max_steps,steps_taken,failed_to_finish
40,25,1000000,22970,false
40,25,1000000,12454,false
40,25,1000000,9042,false
40,30,1000000,11351,false
40,30,1000000,11421,false
40,30,1000000,9806,false
40,30,1000000,14542,false
40,30,1000000,9776,false
40,30,1000000,19039,false
40,30,1000000,28729,false
40,30,1000000,10062,false
40,30,1000000,15125,false
40,30,1000000,14710,false
40,60,1000000,19956,false
40,60,1000000,9000,false
40,60,1000000,15908,false
40,60,1000000,14162,false
40,60,1000000,9933,false
40,60,1000000,10145,false
40,60,1000000,22622,false
40,60,1000000,33200,false
40,60,1000000,11943,false
40,60,1000000,13955,false
50,5,1000000,10837,false
50,5,1000000,9162,false
50,5,1000000,20079,false
50,5,1000000,3650,false
50,5,1000000,16265,false
50,5,1000000,17262,false
50,5,1000000,6122,false
50,5,1000000,39632,false
50,5,1000000,7934,false
50,5,1000000,23109,false
50,10,1000000,22186,false
50,10,1000000,29594,false
50,10,1000000,21207,false
50,10,1000000,19127,false
50,10,1000000,7029,false
50,10,1000000,15644,false
50,10,1000000,6252,false
50,10,1000000,53375,false
50,10,1000000,34257,false
50,10,1000000,16869,false
50,15,1000000,5150,false
50,15,1000000,11399,false
50,15,1000000,11571,false
50,15,1000000,24704,false
50,15,1000000,21860,false
50,15,1000000,11020,false
50,15,1000000,15024,false
50,15,1000000,8957,false
50,15,1000000,12021,false
50,15,1000000,14671,false
50,20,1000000,42581,false
50,20,1000000,12004,false
50,20,1000000,24056,false
50,20,1000000,52858,false
50,20,1000000,24330,false
50,20,1000000,11493,false
50,20,1000000,26418,false
50,20,1000000,38521,false
50,20,1000000,20662,false
50,20,1000000,7799,false
50,25,1000000,22084,false
50,25,1000000,29561,false
50,25,1000000,16354,false
50,25,1000000,19979,false
50,25,1000000,29027,false
50,25,1000000,17399,false
50,25,1000000,24777,false
50,25,1000000,14358,false
50,25,1000000,11571,false
50,25,1000000,13136,false
50,30,1000000,16751,false
50,30,1000000,27257,false
50,30,1000000,17979,false
50,30,1000000,29220,false
50,30,1000000,29249,false
50,30,1000000,13491,false
50,30,1000000,22005,false
50,30,1000000,19195,false
50,30,1000000,12417,false
50,30,1000000,23457,false
50,60,1000000,27463,false
50,60,1000000,51969,false
50,60,1000000,25365,false
50,60,1000000,33757,false
50,60,1000000,23257,false
50,60,1000000,19530,false
50,60,1000000,9293,false
50,60,1000000,23136,false
50,60,1000000,19806,false
50,60,1000000,17654,false
50,700,1000000,77324,false
50,700,1000000,15944,false
50,700,1000000,25075,false
50,700,1000000,33714,false
50,700,1000000,32197,false
50,1000,1000000,26614,false
50,1000,1000000,20587,false
70,5,1000000,19181,false
70,5,1000000,17351,false
70,5,1000000,44345,false
70,5,1000000,7522,false
70,5,1000000,29439,false
70,5,1000000,32711,false
70,5,1000000,21050,false
70,5,1000000,13953,false
70,5,1000000,48239,false
70,5,1000000,27902,false
70,10,1000000,13050,false
70,10,1000000,30398,false
70,10,1000000,20689,false
70,10,1000000,20028,false
70,10,1000000,19860,false
70,10,1000000,46944,false
70,10,1000000,14368,false
70,10,1000000,26064,false
70,10,1000000,129330,false
70,10,1000000,19501,false
70,15,1000000,53723,false
70,15,1000000,43875,false
70,15,1000000,23474,false
70,15,1000000,50166,false
70,15,1000000,50222,false
70,15,1000000,38395,false
70,15,1000000,18315,false
70,15,1000000,25171,false
70,15,1000000,36547,false
70,15,1000000,40502,false
70,20,1000000,39903,false
70,20,1000000,83045,false
70,20,1000000,39444,false
70,20,1000000,62831,false
70,20,1000000,38612,false
70,20,1000000,29946,false
70,20,1000000,36556,false
70,20,1000000,35334,false
70,20,1000000,57006,false
70,20,1000000,35872,false
70,25,1000000,53207,false
70,25,1000000,57137,false
70,25,1000000,73685,false
70,25,1000000,55385,false
70,25,1000000,42634,false
70,25,1000000,54331,false
70,25,1000000,57420,false
